produto,preco,empresa,origem,avaliacao,data,quantidade_vendida
Coletor Menstrual Korui - Pôr Do Sol,94,None,None,4.9,2022-12-10,359
Coletor Menstrual Korui - Pôr Do Sol,73,None,None,4.9,2023-02-24,916
Coletor Menstrual Korui - Pôr Do Sol,76,None,None,4.9,2022-11-12,168
Coletor Menstrual Korui - Pôr Do Sol,73,None,None,4.9,2023-09-12,877
Coletor Menstrual Korui - Pôr Do Sol,77,None,None,4.9,2023-08-03,707
Coletor Menstrual Korui - Pôr Do Sol,85,None,None,4.9,2022-09-29,565
Coletor Menstrual Korui - Pôr Do Sol,80,None,None,4.9,2024-07-12,875
Coletor Menstrual Korui - Pôr Do Sol,69,None,None,4.9,2022-03-10,805
Coletor Menstrual Korui - Pôr Do Sol,93,None,None,4.9,2023-02-15,897
Coletor Menstrual Korui - Pôr Do Sol,76,None,None,4.9,2023-09-02,275
Coletor Menstrual Korui - Pôr Do Sol,84,None,None,4.9,2024-09-11,408
Coletor Menstrual Korui - Pôr Do Sol,81,None,None,4.9,2024-04-30,142
Coletor Menstrual Korui - Pôr Do Sol,84,None,None,4.9,2024-01-12,136
Coletor Menstrual Korui - Pôr Do Sol,66,None,None,4.9,2022-12-02,766
Coletor Menstrual Korui - Pôr Do Sol,89,None,None,4.9,2022-12-28,433
Coletor Menstrual Korui - Pôr Do Sol,86,None,None,4.9,2022-09-29,941
Coletor Menstrual Korui - Pôr Do Sol,92,None,None,4.9,2022-12-25,117
Coletor Menstrual Korui - Pôr Do Sol,77,None,None,4.9,2024-05-13,362
Coletor Menstrual Korui - Pôr Do Sol,83,None,None,4.9,2022-03-26,935
Coletor Menstrual Korui - Pôr Do Sol,92,None,None,4.9,2023-08-05,608
Coletor Menstrual Korui - Pôr Do Sol,82,None,None,4.9,2024-07-08,770
Coletor Menstrual Korui - Pôr Do Sol,66,None,None,4.9,2023-07-10,125
Coletor Menstrual Korui - Pôr Do Sol,91,None,None,4.9,2023-08-03,206
